AK,US,Alaska
AL,US,Alabama
AR,US,Arkansas
AZ,US,Arizona
CA,US,California
CO,US,Colorado
CT,US,Connecticut
DC,US,Columbia
DE,US,Delaware
FL,US,Florida
GA,US,Georgia
HI,US,Hawaii
IA,US,Iowa
ID,US,Idaho
IL,US,Illinois
IN,US,Indiana
KS,US,Kansas
KY,US,Kentucky
LA,US,Louisiana
MA,US,Massachusets
MD,US,Maryland
ME,US,Maine
MI,US,Michigan
MN,US,Minnesota
MO,US,Missouri
MS,US,Mississippi
MT,US,Montana
NC,US,North Carolina
ND,US,North Dakota
NE,US,Nebraska
NH,US,New Hampshire
NJ,US,New Jersey
NM,US,New Mexico
NV,US,Nevada
NY,US,New York
OH,US,Ohio
OK,US,Oklahoma
OR,US,Oregon
PA,US,Pennsylvania
RI,US,Rhode Island
SC,US,South Carolina
SD,US,South Dakota
TN,US,Tennessee
TX,US,Texas
UT,US,Utah
VA,US,Virginia
VT,US,Vermont
WA,US,Washington
WI,US,Wisconsin
WV,US,West Virginia
WY,US,Wyoming
